סעיף,יח',מחיר,תאור
57.011.0164,מ',550,"צינורות פלדה קוטר ""10  עובי דופן ""3/16  עם עטיפה חיצונית פוליאתילן שחול תלת שכבתי בעובי 4 מ״מ דוגמת ""טריו 4"" תוצרת ""צינורות המזרח התיכון"" או ש״ע וציפוי פנים מלט צמנט  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.011.0165,מ',620,"צינורות פלדה קוטר ""12  עובי דופן ""3/16  עם עטיפה חיצונית פוליאתילן שחול תלת שכבתי בעובי 4 מ״מ דוגמת ""טריו 4"" תוצרת ""צינורות המזרח התיכון"" או ש״ע וציפוי פנים מלט צמנט  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.011.0166,מ',750,"צינורות פלדה קוטר ""14  עובי דופן ""3/16  עם עטיפה חיצונית פוליאתילן שחול תלת שכבתי בעובי 4 מ״מ דוגמת ""טריו 4"" תוצרת ""צינורות המזרח התיכון"" או ש״ע וציפוי פנים מלט צמנט  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.011.0167,מ',810,"צינורות פלדה קוטר ""16  עובי דופן ""3/16  עם עטיפה חיצונית פוליאתילן שחול תלת שכבתי בעובי 4 מ״מ דוגמת ""טריו 4"" תוצרת ""צינורות המזרח התיכון"" או ש״ע וציפוי פנים מלט צמנט  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.011.0168,מ',950,"צינורות פלדה קוטר ""18  עובי דופן ""3/16  עם עטיפה חיצונית פוליאתילן שחול תלת שכבתי בעובי 4 מ״מ דוגמת ""טריו 4"" תוצרת ""צינורות המזרח התיכון"" או ש״ע וציפוי פנים מלט צמנט  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.011.0170,מ',1130,"צינורות פלדה קוטר ""18  עובי דופן ""5/16  עם עטיפה חיצונית פוליאתילן שחול תלת שכבתי דוגמת ""טריו"" או ""3-APC"" או ש״ע וציפוי פנים מלט צמנט  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 2.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.011.0171,מ',1210,"צינורות פלדה קוטר ""20  עובי דופן ""5/16  עם עטיפה חיצונית פוליאתילן שחול תלת שכבתי דוגמת ""טריו"" או ""3-APC"" או ש״ע וציפוי פנים מלט צמנט  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 2.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.011.0172,מ',1300,"צינורות פלדה קוטר ""22  עובי דופן ""5/16  עם עטיפה חיצונית פוליאתילן שחול תלת שכבתי דוגמת ""טריו"" או ""3-APC"" או ש״ע וציפוי פנים מלט צמנט  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 2.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.011.0173,מ',1370,"צינורות פלדה קוטר ""24  עובי דופן ""5/16  עם עטיפה חיצונית פוליאתילן שחול תלת שכבתי דוגמת ""טריו"" או ""3-APC"" או ש״ע וציפוי פנים מלט צמנט  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 2.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.011.0192,מ',2360,"צינורות פלדה קוטר ""30  עובי דופן ""3/8  עם עטיפה חיצונית פוליאתילן שחול תלת שכבתי דוגמת ""טריו"" או ""3-APC"" או ש״ע וציפוי פנים מלט צמנט  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 2.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.011.0193,מ',2480,"צינורות פלדה קוטר ""32  עובי דופן ""3/8  עם עטיפה חיצונית פוליאתילן שחול תלת שכבתי דוגמת ""טריו"" או ""3-APC"" או ש״ע וציפוי פנים מלט צמנט  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 2.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.011.0194,מ',2600,"צינורות פלדה קוטר ""34  עובי דופן ""3/8  עם עטיפה חיצונית פוליאתילן שחול תלת שכבתי דוגמת ""טריו"" או ""3-APC"" או ש״ע וציפוי פנים מלט צמנט  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 2.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.011.0195,מ',2760,"צינורות פלדה קוטר ""36  עובי דופן ""3/8  עם עטיפה חיצונית פוליאתילן שחול תלת שכבתי דוגמת ""טריו"" או ""3-APC"" או ש״ע וציפוי פנים מלט צמנט  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 2.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.011.0201,מ',4480,"צינורות פלדה קוטר ""48  עובי דופן ""1/2  עם עטיפה חיצונית פוליאתילן שחול תלת שכבתי דוגמת ""טריו"" או ""3-APC"" או ש״ע וציפוי פנים מלט צמנט  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 2.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.011.0219,הערה,0,צינורות פלדה עם ציפוי חוץ פוליאתילן ועטיפה חיצונית בטון דחוס
57.011.0221,מ',185,"צינורות פלדה קוטר ""2  עובי דופן 3.65 מ״מ  עם ציפוי חוץ פוליאתילן שחול תלת שכבתי ועטיפה חיצונית בטון דחוס דוגמת ""טריו"" או ""APC"" או ש״ע  בעובי 19 מ״מ וציפוי פנים מלט צמנט  מונחים בקרקע בעומק עד 1.25 מ'  לרבות ספחים  עבודות חפירה  עטיפת חול ומילוי חוזר"
57.011.0222,מ',217,"צינורות פלדה קוטר ""3  עובי דופן ""5/32  עם ציפוי חוץ פוליאתילן שחול תלת שכבתי ועטיפה חיצונית בטון דחוס דוגמת ""טריו"" או ""APC"" או ש״ע  בעובי 19 מ״מ וציפוי פנים מלט צמנט  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.011.0223,מ',275,"צינורות פלדה קוטר ""4  עובי דופן ""5/32  עם ציפוי חוץ פוליאתילן שחול תלת שכבתי ועטיפה חיצונית בטון דחוס דוגמת ""טריו"" או ""APC"" או ש״ע  בעובי 19 מ״מ וציפוי פנים מלט צמנט  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ' לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.011.0224,מ',360,"צינורות פלדה קוטר ""6  עובי דופן ""5/32  עם ציפוי חוץ פוליאתילן שחול תלת שכבתי ועטיפה חיצונית בטון דחוס דוגמת ""טריו"" או ""APC"" או ש״ע  בעובי 19 מ״מ וציפוי פנים מלט צמנט  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.011.0225,מ',456,"צינורות פלדה קוטר ""8  עובי דופן ""5/32  עם ציפוי חוץ פוליאתילן שחול תלת שכבתי ועטיפה חיצונית בטון דחוס דוגמת ""טריו"" או ""APC"" או ש״ע  בעובי 19 מ״מ וציפוי פנים מלט צמנט  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.011.0227,מ',300,"צינורות פלדה קוטר ""4  עובי דופן ""3/16  עם ציפוי חוץ פוליאתילן שחול תלת שכבתי ועטיפה חיצונית בטון דחוס דוגמת ""טריו"" או ""APC"" או ש״ע  בעובי 19 מ״מ וציפוי פנים מלט צמנט  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.011.0228,מ',380,"צינורות פלדה קוטר ""6  עובי דופן ""3/16  עם ציפוי חוץ פוליאתילן שחול תלת שכבתי ועטיפה חיצונית בטון דחוס דוגמת ""טריו"" או ""APC"" או ש״ע  בעובי 19 מ״מ וציפוי פנים מלט צמנט  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.011.0229,מ',510,"צינורות פלדה קוטר ""8  עובי דופן ""3/16  עם ציפוי חוץ פוליאתילן שחול תלת שכבתי ועטיפה חיצונית בטון דחוס דוגמת ""טריו"" או ""APC"" או ש״ע  בעובי 19 מ״מ וציפוי פנים מלט צמנט  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.011.0230,מ',614,"צינורות פלדה קוטר ""10  עובי דופן ""3/16  עם ציפוי חוץ פוליאתילן שחול תלת שכבתי ועטיפה חיצונית בטון דחוס דוגמת ""טריו"" או ""APC"" או ש״ע  בעובי 19 מ״מ וציפוי פנים מלט צמנט  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.011.0240,מ',710,"צינורות פלדה קוטר ""12  עובי דופן ""3/16  עם ציפוי חוץ פוליאתילן שחול תלת שכבתי ועטיפה חיצונית בטון דחוס דוגמת ""טריו"" או ""APC"" או ש״ע  בעובי 19 מ״מ וציפוי פנים מלט צמנט  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.011.0250,מ',770,"צינורות פלדה קוטר ""14  עובי דופן ""3/16  עם ציפוי חוץ פוליאתילן שחול תלת שכבתי ועטיפה חיצונית בטון דחוס דוגמת ""טריו"" או ""APC"" או ש״ע  בעובי 19 מ״מ וציפוי פנים מלט צמנט  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.011.0260,מ',810,"צינורות פלדה קוטר ""16  עובי דופן ""3/16  עם ציפוי חוץ פוליאתילן שחול תלת שכבתי ועטיפה חיצונית בטון דחוס דוגמת ""טריו"" או ""APC"" או ש״ע  בעובי 19 מ״מ וציפוי פנים מלט צמנט  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.011.0299,הערה,0,צינורות פלדה עם עטיפה חיצונית בטון דחוס
57.011.0300,מ',240,"צינורות פלדה קוטר ""4  עובי דופן ""5/32  עם עטיפה חיצונית בטון דחוס בעובי של 19 מ״מ וציפוי פנים מלט צמנט  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.011.0310,מ',300,"צינורות פלדה קוטר ""6  עובי דופן ""5/32  עם עטיפה חיצונית בטון דחוס בעובי של 19 מ״מ וציפוי פנים מלט צמנט  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.011.0320,מ',390,"צינורות פלדה קוטר ""8  עובי דופן ""5/32  עם עטיפה חיצונית בטון דחוס בעובי של 19 מ״מ וציפוי פנים מלט צמנט  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.011.0327,מ',280,"צינורות פלדה קוטר ""4  עובי דופן ""3/16  עם עטיפה חיצונית בטון דחוס בעובי של 19 מ״מ וציפוי פנים מלט צמנט  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.011.0328,מ',350,"צינורות פלדה קוטר ""6  עובי דופן ""3/16  עם עטיפה חיצונית בטון דחוס בעובי של 19 מ״מ וציפוי פנים מלט צמנט  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.011.0329,מ',440,"צינורות פלדה קוטר ""8  עובי דופן ""3/16  עם עטיפה חיצונית בטון דחוס בעובי של 19 מ״מ וציפוי פנים מלט צמנט  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.011.0330,מ',540,"צינורות פלדה קוטר ""10  עובי דופן ""3/16  עם עטיפה חיצונית בטון דחוס בעובי של 19 מ״מ וציפוי פנים מלט צמנט  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.011.0340,מ',630,"צינורות פלדה קוטר ""12  עובי דופן ""3/16  עם עטיפה חיצונית בטון דחוס בעובי של 19 מ״מ וציפוי פנים מלט צמנט  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
57.011.0350,מ',720,"צינורות פלדה קוטר ""14  עובי דופן ""3/16  עם עטיפה חיצונית בטון דחוס בעובי של 19 מ״מ וציפוי פנים מלט צמנט  לא כולל ספחים למעט מחברים  מונחים בקרקע בעומק עד 1.25 מ'  לרבות עבודות חפירה  עטיפת חול ומילוי חוזר"
